prompt_number,prompt,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,rumination_loop.thisRepN,rumination_loop.thisTrialN,rumination_loop.thisN,rumination_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,text_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,rumination.started,prompt_constant.started,prompts.started,rumination.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.016191499977139756,0.032618400000501424,0.032618400000501424,3.6404287999903318,a,3.5956708999874536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6404623999842443,3.6538816999818664,3.954422799986787,3.9378193999873474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9378434999962337,3.954422799986787,4.955586199997924,4.938620799977798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93864529998973,4.955586199997924,6.965979100001277,6.940608999982942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
3,"Why did these events I just recalled happen to me, not others?",0,0,0,,,,,,,,0,0,0,2,,,,,6.965979100001277,,,,,,,,,,,,,,,,,,,,,6.950442499975907,6.965979100001277,6.965979100001277,11.94434989997535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
4,Why can't I handle things better in the events I just recalled?,1,1,0,,,,,,,,0,1,1,3,,,,,11.96333389999927,,,,,,,,,,,,,,,,,,,,,11.948804299987387,11.96333389999927,11.96333389999927,16.948403099988354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
1,Analyze your personality to understand why you feel so distressed about the events you just recalled,2,2,0,,,,,,,,0,2,2,0,,,,,16.971917599992594,,,,,,,,,,,,,,,,,,,,,16.95611299999291,16.971917599992594,16.971917599992594,21.9527086999733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
2,What kind of person you are revealed by the events you just recalled. What similarities and differences do you have with others?,3,3,0,,,,,,,,0,3,3,1,,,,,21.976960999978473,,,,,,,,,,,,,,,,,,,,,21.959139599988703,21.976960999978473,21.976960999978473,26.95627909997711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.956339799973648,26.973938899987843,,27.256787899998017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.257611499982886,27.281368699972518,27.281368699972518,27.281368699972518,107.99077189998934,None,None,7.0,a,80.70289899999625,None,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.99081369998748,108.0063022999966,108.32216359997983,108.2913591999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,0,0,0,were about the past,1,None,None,a,0.8197762999916449,None,,,,,0,0,0,0,108.32216359997983,,,,,,,,,109.15885789997992,109.17365749998135,109.48219179999433,109.45878119999543,,,,,,,,,,,,,,,,,,,,3.0,,,,108.30227709998144,108.32216359997983,108.32216359997983,108.32216359997983,108.32216359997983,109.15880029997788,None,None,a,0.8197762999916449,None,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,1,1,0,were about the future,2,None,None,a,0.7092865000013262,None,,,,,0,1,1,1,109.48219179999433,,,,,,,,,110.1929378999921,110.20801169998595,110.51318280000123,110.49215789997834,,,,,,,,,,,,,,,,,,,,7.0,,,,109.46467239997583,109.48219179999433,109.48219179999433,109.48219179999433,109.48219179999433,110.19288689998211,None,None,a,0.7092865000013262,None,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,2,2,0,were about myself,3,None,None,a,0.6273357000027318,None,,,,,0,2,2,2,110.51318280000123,,,,,,,,,111.14656090000062,111.15884879999794,111.47429289997672,111.44415239998489,,,,,,,,,,,,,,,,,,,,4.0,,,,110.49581929997657,110.51318280000123,110.51318280000123,110.51318280000123,110.51318280000123,111.14649309997912,None,None,a,0.6273357000027318,None,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,3,3,0,were about others,4,None,None,a,0.26211829998646863,None,,,,,0,3,3,3,111.47429289997672,,,,,,,,,111.74424319999525,111.75921449999441,112.10594029998174,112.0439764999901,,,,,,,,,,,,,,,,,,,,5.0,,,,111.4505904999969,111.47429289997672,111.47429289997672,111.47429289997672,111.47429289997672,111.74418799998239,None,None,a,0.26211829998646863,None,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,4,4,0,were positive,5,None,None,a,0.5533856000110973,None,,,,,0,4,4,4,112.10594029998174,,,,,,,,,112.66150669998024,112.67133479999029,112.98426459997427,112.96154709998518,,,,,,,,,,,,,,,,,,,,6.0,,,,112.08803819998866,112.10594029998174,112.10594029998174,112.10594029998174,112.10594029998174,112.66142439999385,None,None,a,0.5533856000110973,None,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,5,5,0,were negative,6,None,None,a,0.3661073999828659,None,,,,,0,5,5,5,112.98426459997427,,,,,,,,,113.36580559998401,113.37711599998875,113.69481570000062,113.66222119997838,,,,,,,,,,,,,,,,,,,,5.0,,,,112.96659229998477,112.98426459997427,112.98426459997427,112.98426459997427,112.98426459997427,113.36575619998621,None,None,a,0.3661073999828659,None,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,6,6,0,were in the form of images,7,None,None,a,0.6512227000202984,None,,,,,0,6,6,6,113.69481570000062,,,,,,,,,114.34810829997878,114.36108649999369,114.6691580999759,114.64642049997929,,,,,,,,,,,,,,,,,,,,5.0,,,,113.6715753999888,113.69481570000062,113.69481570000062,113.69481570000062,113.69481570000062,114.34804159999476,None,None,a,0.6512227000202984,None,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,7,7,0,were in the form of words,8,None,None,a,0.31431509999674745,None,,,,,0,7,7,7,114.6691580999759,,,,,,,,,114.98576709997724,114.9951705999847,115.30449849998695,115.28045729998848,,,,,,,,,,,,,,,,,,,,5.0,,,,114.65245269998559,114.6691580999759,114.6691580999759,114.6691580999759,114.6691580999759,114.98570449999534,None,None,a,0.31431509999674745,None,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,8,8,0,made me feel happy,9,None,None,a,0.4274122999922838,None,,,,,0,8,8,8,115.30449849998695,,,,,,,,,115.73783729999559,115.74720189999789,,116.04662509998889,,,,,,,,,,,,,,,,,,,,5.0,,,,115.28607649999321,115.30449849998695,115.30449849998695,115.30449849998695,115.30449849998695,115.73777529998915,None,None,a,0.4274122999922838,None,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,9,9,0,made me feel sad,10,None,None,a,0.647694200015394,None,,,,,0,9,9,9,116.07491759999539,,,,,,,,,116.73353209998459,116.74672409999766,117.04675129998941,117.03052629999002,,,,,,,,,,,,,,,,,,,,6.0,,,,116.0492963999859,116.07491759999539,116.07491759999539,116.07491759999539,116.07491759999539,116.73348249998526,None,None,a,0.647694200015394,None,,,,,,,,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.03059789998224,117.04675129998941,117.04675129998941,119.09940589999314,s,2.039817100012442,None,999,001,2024-10-31_10h45.06.876,rumination_demo,2024.2.4,59.698463067384665,2024-10-31 10h45.10.714516 -0400,
