event_number,keyword1,keyword2,keyword3,keyword4,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,sad_memory_loop.thisRepN,sad_memory_loop.thisTrialN,sad_memory_loop.thisN,sad_memory_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,text_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus.stopped,sad_memory.started,background.started,sad_memory.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.016244799975538626,0.03219079997506924,0.03219079997506924,12.295925699989311,a,12.166793899988988,0.08374920001369901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.295960699993884,12.311960599996382,12.612676099990495,12.596143999980995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.596167799987597,12.612676099990495,13.597031899989815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.597066499991342,13.613382699986687,15.598799999977928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
2,door,noise,None,None,0,0,0,,,,,,,,0,0,0,1,,,,,15.623638299992308,,,,,,,,,,,,,,,,,,,15.612000699999044,15.623638299992308,18.600855600001523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
3,scream,siren,gun,None,1,1,0,,,,,,,,0,1,1,2,,,,,18.623596699995687,,,,,,,,,,,,,,,,,,,18.61054019999574,18.623596699995687,21.60314069999731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
4,homeless,street,shout,chase,2,2,0,,,,,,,,0,2,2,3,,,,,21.62883449997753,,,,,,,,,,,,,,,,,,,21.614689199981513,21.62883449997753,24.605857099988498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
1,London,None,None,None,3,3,0,,,,,,,,0,3,3,0,,,,,24.626090299978387,,,,,,,,,,,,,,,,,,,24.614534399996046,24.626090299978387,27.60862199999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.60887559998082,27.62564049998764,,27.908488199987914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.909680099983234,27.938249999977415,27.938249999977415,27.938249999977415,29.694562699995004,None,None,7.0,a,1.6787772999959998,0.07397269998909906,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.694609300000593,29.709734499978367,30.02404099999694,29.994431699975394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,0,0,0,were about the past,1,None,None,a,0.6212567000184208,0.07286200000089593,,,,,0,0,0,0,30.02404099999694,,,,,,,,,30.725242099986644,30.733646899985615,,31.02785259997472,,,,,,,,,,,,,,,,,5.0,,,,30.002645899978234,30.02404099999694,30.02404099999694,30.02404099999694,30.02404099999694,30.725187899981393,None,None,a,0.6212567000184208,0.07286200000089593,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,1,1,0,were about the future,2,None,None,a,0.6203233000123873,0.0837658999953419,,,,,0,1,1,1,31.05107719998341,,,,,,,,,31.757599699980346,31.775041899993084,,32.062118899979396,,,,,,,,,,,,,,,,,3.0,,,,31.031710799987195,31.05107719998341,31.05107719998341,31.05107719998341,31.05107719998341,31.757517899997765,None,None,a,0.6203233000123873,0.0837658999953419,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,2,2,0,were about myself,3,None,None,a,0.403139200003352,0.1003062000090722,,,,,0,2,2,2,32.08393139997497,,,,,,,,,32.596579099976225,32.614951899973676,,32.91509879997466,,,,,,,,,,,,,,,,,7.0,,,,32.06732339999871,32.08393139997497,32.08393139997497,32.08393139997497,32.08393139997497,32.59652439999627,None,None,a,0.403139200003352,0.1003062000090722,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,3,3,0,were about others,4,None,None,a,0.7949428999854717,0.08482630000798963,,,,,0,3,3,3,32.94730899998103,,,,,,,,,33.83200080000097,33.846389199985424,34.16292839997914,34.1316872999887,,,,,,,,,,,,,,,,,4.0,,,,32.92300399998203,32.94730899998103,32.94730899998103,32.94730899998103,32.94730899998103,33.831956199981505,None,None,a,0.7949428999854717,0.08482630000798963,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,4,4,0,were positive,5,None,None,a,0.7864388000161853,0.07075559999793768,,,,,0,4,4,4,34.16292839997914,,,,,,,,,35.03351399998064,35.04749859997537,,35.33419959997991,,,,,,,,,,,,,,,,,7.0,,,,34.13827129997662,34.16292839997914,34.16292839997914,34.16292839997914,34.16292839997914,35.0334664999973,None,None,a,0.7864388000161853,0.07075559999793768,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,5,5,0,were negative,6,None,None,a,0.6427160000021104,0.10064190000412054,,,,,0,5,5,5,35.362874099984765,,,,,,,,,36.108455599984154,36.11759409998194,,36.415778999973554,,,,,,,,,,,,,,,,,3.0,,,,35.34048269997584,35.362874099984765,35.362874099984765,35.362874099984765,35.362874099984765,36.108403699996416,None,None,a,0.6427160000021104,0.10064190000412054,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,6,6,0,were in the form of images,7,None,None,a,0.9413777000154369,0.08684839998022653,,,,,0,6,6,6,36.43834880000213,,,,,,,,,37.471384099975694,37.48261419998016,37.79774650000036,37.76726239998243,,,,,,,,,,,,,,,,,6.0,,,,36.42146759998286,36.43834880000213,36.43834880000213,36.43834880000213,36.43834880000213,37.47133039997425,None,None,a,0.9413777000154369,0.08684839998022653,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,7,7,0,were in the form of words,8,None,None,s,0.8597935999860056,0.11249709999538027,,,,,0,7,7,7,37.79774650000036,,,,,,,,,38.77486939998926,38.783882599993376,39.09102669998538,39.06859089998761,,,,,,,,,,,,,,,,,4.0,,,,37.77452249999624,37.79774650000036,37.79774650000036,37.79774650000036,37.79774650000036,38.77481989999069,None,None,s,0.8597935999860056,0.11249709999538027,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,8,8,0,made me feel happy,9,None,None,s,0.72182820001035,0.09884869999950752,,,,,0,8,8,8,39.09102669998538,,,,,,,,,39.9147281999758,39.925327399978414,,40.21861799998442,,,,,,,,,,,,,,,,,4.0,,,,39.07413169997744,39.09102669998538,39.09102669998538,39.09102669998538,39.09102669998538,39.91467549998197,None,None,s,0.72182820001035,0.09884869999950752,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,9,9,0,made me feel sad,10,None,None,a,0.48604509999859147,0.08488529999158345,,,,,0,9,9,9,40.2418984999822,,,,,,,,,40.82231389998924,40.83538099998259,41.13591439998709,41.12067879998358,,,,,,,,,,,,,,,,,5.0,,,,40.221040899981745,40.2418984999822,40.2418984999822,40.2418984999822,40.2418984999822,40.82225999998627,None,None,a,0.48604509999859147,0.08488529999158345,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.12079590000212,41.13591439998709,41.13591439998709,43.405563599983,a,2.1831877999939024,0.07233940000878647,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
